date,time,symbol,option_symbol,side,entry,exit_price,qty,lot_qty,pnl,pnl_pct,reason,sl_pct,trail_pct,atr_trail_pct,profit_trail_pct,min_trail_pct_reached,option_atr,peak_profit,peak_profit_pct,held_secs,equity_after,mode,row_type,partial_realized_pnl,pnl_total,ai_entry_score,entry_analyzer_score,entry_grade,regime,scalp_mode,nifty_entry,nifty_exit,entry_verdict_json,exit_signals_json
2026-07-09,10:23:07,NIFTY,NIFTY2671424050CE,CE,142.65,142.2,10,650,-292.5,-0.32,ai_analyzer,3.0,2.5,5.0,,2.5,0.095,0.0,0.0,0,99707.5,demo,full,0.0,-292.5,0.5,61.9,C,choppy,auto,24048.9,24048.45,"{""allow"": true, ""score"": 61.9, ""grade"": ""C"", ""reason"": ""ENTRY APPROVED [C] score=62/100  PA=1% Vol=dead \u0394=+0.55 R:R=2.0 time=prime"", ""dimensions"": {""price_action"": {""momentum"": 0.667, ""trend_strength"": 0.235, ""sr_quality"": 0.934, ""candle_quality"": 0.979, ""rsi_signal"": 0.4, ""rsi_value"": 57.9, ""composite"": 0.619}, ""volatility"": {""regime"": ""dead"", ""nifty_atr"": 0.468, ""opt_atr"": 0.285, ""atr_pct"": 0.0019, ""vol_score"": 0.2}, ""greeks"": {""delta"": 0.5498, ""gamma"": 0.04, ""theta"": -1.994, ""vega"": 0.005, ""moneyness"": 1.0, ""dte"": 5, ""theta_pressure"": 0.4, ""score"": 0.701}, ""risk_reward"": {""ev"": 324.53, ""kelly"": 0.175, ""rr_ratio"": 2.0, ""score"": 0.9, ""risk_per_lot"": 927.23, ""max_lots_kelly"": 1}, ""timing"": {""session"": ""open"", ""score"": 0.9, ""minutes_left"": 307, ""phase"": ""prime"", ""elapsed_mins"": 68}, ""microstructure"": {""spread_pct"": 0.035, ""liquidity"": 0.9, ""score"": 0.9}, ""ai_brain"": {""score"": 0.5}, ""capital"": {""score"": 0.7, ""affordable_lots"": 10, ""capital_util"": 0.093, ""loss_streak"": 0}, ""vix"": {""score"": 0.85, ""regime"": ""normal"", ""vix"": 13.36, ""day_high"": 13.39, ""day_low"": 13.36, ""trend"": ""flat"", ""recommendation"": ""optimal""}, ""option_chain"": {""score"": 0.5, ""pcr"": 1.0, ""max_pain"": 0, ""oi_bias"": ""neutral"", ""recommendation"": ""no_data""}, ""multi_tf"": {""score"": 0.0, ""trends"": {""1m"": ""unknown"", ""5m"": ""unknown"", ""15m"": ""unknown""}, ""aligned"": true, ""recommendation"": ""strong""}}, ""lots"": 1, ""sl_pct"": 10.0, ""trail_pct"": 8.0, ""timeout"": 50, ""greeks"": {""delta"": 0.5498, ""gamma"": 0.04, ""theta"": -1.994, ""","{""reversal_pattern"": 0.6}"
2026-07-09,10:23:25,NIFTY,NIFTY2671424050CE,CE,142.5,142.5,10,650,0.0,0.0,trail,3.0,2.5,5.0,,2.5,0.02,65.0,0.07,0,99707.5,demo,full,0.0,0.0,0.443,50.1,C,choppy,auto,24052.05,24052.25,"{""allow"": true, ""score"": 50.1, ""grade"": ""C"", ""reason"": ""ENTRY APPROVED [C] score=50/100  PA=0% Vol=dead \u0394=+0.55 R:R=2.0 time=prime"", ""dimensions"": {""price_action"": {""momentum"": 0.667, ""trend_strength"": 0.011, ""sr_quality"": 0.743, ""candle_quality"": 0.667, ""rsi_signal"": 0.4, ""rsi_value"": 50.0, ""composite"": 0.478}, ""volatility"": {""regime"": ""dead"", ""nifty_atr"": 0.725, ""opt_atr"": 0.45, ""atr_pct"": 0.003, ""vol_score"": 0.2}, ""greeks"": {""delta"": 0.5503, ""gamma"": 0.04, ""theta"": -1.991, ""vega"": 0.009, ""moneyness"": 1.0001, ""dte"": 5, ""theta_pressure"": 0.4, ""score"": 0.701}, ""risk_reward"": {""ev"": 324.19, ""kelly"": 0.175, ""rr_ratio"": 2.0, ""score"": 0.9, ""risk_per_lot"": 926.25, ""max_lots_kelly"": 1}, ""timing"": {""session"": ""open"", ""score"": 0.9, ""minutes_left"": 307, ""phase"": ""prime"", ""elapsed_mins"": 68}, ""microstructure"": {""spread_pct"": 0.035, ""liquidity"": 0.9, ""score"": 0.9}, ""ai_brain"": {""score"": 0.443}, ""capital"": {""score"": 0.7, ""affordable_lots"": 10, ""capital_util"": 0.093, ""loss_streak"": 1}, ""vix"": {""score"": 0.85, ""regime"": ""normal"", ""vix"": 13.36, ""day_high"": 13.39, ""day_low"": 13.36, ""trend"": ""flat"", ""recommendation"": ""optimal""}, ""option_chain"": {""score"": 0.5, ""pcr"": 1.0, ""max_pain"": 0, ""oi_bias"": ""neutral"", ""recommendation"": ""no_data""}, ""multi_tf"": {""score"": 0.0, ""trends"": {""1m"": ""unknown"", ""5m"": ""unknown"", ""15m"": ""unknown""}, ""aligned"": true, ""recommendation"": ""strong""}}, ""lots"": 1, ""sl_pct"": 10.0, ""trail_pct"": 8.0, ""timeout"": 50, ""greeks"": {""delta"": 0.5503, ""gamma"": 0.04, ""theta"": -1.991",{}
2026-07-09,10:23:38,NIFTY,NIFTY2671424050PE,PE,144.65,144.55,10,650,-65.0,-0.07,trail,3.0,2.5,5.0,,2.5,0.045,32.5,0.03,2,99642.5,demo,full,0.0,-65.0,0.389,42.5,D,choppy,auto,24049.45,24048.25,"{""allow"": true, ""score"": 42.5, ""grade"": ""D"", ""reason"": ""ENTRY APPROVED [D] score=42/100  PA=1% Vol=dead \u0394=-0.55 R:R=2.0 time=prime"", ""dimensions"": {""price_action"": {""momentum"": 0.556, ""trend_strength"": 0.464, ""sr_quality"": 0.893, ""candle_quality"": 0.81, ""rsi_signal"": 0.4, ""rsi_value"": 33.9, ""composite"": 0.615}, ""volatility"": {""regime"": ""dead"", ""nifty_atr"": 0.77, ""opt_atr"": 0.375, ""atr_pct"": 0.0032, ""vol_score"": 0.2}, ""greeks"": {""delta"": -0.5501, ""gamma"": 0.04, ""theta"": -2.022, ""vega"": 0.009, ""moneyness"": 1.0, ""dte"": 5, ""theta_pressure"": 0.4, ""score"": 0.7}, ""risk_reward"": {""ev"": 329.08, ""kelly"": 0.175, ""rr_ratio"": 2.0, ""score"": 0.9, ""risk_per_lot"": 940.23, ""max_lots_kelly"": 1}, ""timing"": {""session"": ""open"", ""score"": 0.9, ""minutes_left"": 307, ""phase"": ""prime"", ""elapsed_mins"": 68}, ""microstructure"": {""spread_pct"": 0.035, ""liquidity"": 0.8, ""score"": 0.9}, ""ai_brain"": {""score"": 0.389}, ""capital"": {""score"": 0.7, ""affordable_lots"": 10, ""capital_util"": 0.094, ""loss_streak"": 0}, ""vix"": {""score"": 0.85, ""regime"": ""normal"", ""vix"": 13.36, ""day_high"": 13.39, ""day_low"": 13.36, ""trend"": ""flat"", ""recommendation"": ""optimal""}, ""option_chain"": {""score"": 0.5, ""pcr"": 1.0, ""max_pain"": 0, ""oi_bias"": ""neutral"", ""recommendation"": ""no_data""}, ""multi_tf"": {""score"": 0.0, ""trends"": {""1m"": ""unknown"", ""5m"": ""unknown"", ""15m"": ""unknown""}, ""aligned"": true, ""recommendation"": ""strong""}}, ""lots"": 1, ""sl_pct"": 10.0, ""trail_pct"": 8.0, ""timeout"": 50, ""greeks"": {""delta"": -0.5501, ""gamma"": 0.04, ""theta"": -2.022, """,{}
2026-07-09,11:14:00,NIFTY,NIFTY2671424000CE,CE,155.3,155.35,9,585,29.25,0.03,ai_analyzer,3.0,2.5,5.0,,2.5,0.03,117.0,0.13,1,100029.25,demo,full,0.0,29.25,0.425,41.5,D,choppy,auto,24019.15,24019.1,"{""allow"": true, ""score"": 41.5, ""grade"": ""D"", ""reason"": ""ENTRY APPROVED [D] score=42/100  PA=1% Vol=dead \u0394=+0.55 R:R=2.0 time=prime"", ""dimensions"": {""price_action"": {""momentum"": 0.778, ""trend_strength"": 0.631, ""sr_quality"": 1.0, ""candle_quality"": 0.885, ""rsi_signal"": 0.4, ""rsi_value"": 68.4, ""composite"": 0.745}, ""volatility"": {""regime"": ""dead"", ""nifty_atr"": 0.575, ""opt_atr"": 0.25, ""atr_pct"": 0.0024, ""vol_score"": 0.2}, ""greeks"": {""delta"": 0.5532, ""gamma"": 0.04, ""theta"": -2.17, ""vega"": 0.007, ""moneyness"": 1.0008, ""dte"": 5, ""theta_pressure"": 0.4, ""score"": 0.7}, ""risk_reward"": {""ev"": 353.31, ""kelly"": 0.175, ""rr_ratio"": 2.0, ""score"": 0.9, ""risk_per_lot"": 1009.45, ""max_lots_kelly"": 1}, ""timing"": {""session"": ""open"", ""score"": 0.9, ""minutes_left"": 257, ""phase"": ""prime"", ""elapsed_mins"": 118}, ""microstructure"": {""spread_pct"": 0.032, ""liquidity"": 0.8, ""score"": 0.9}, ""ai_brain"": {""score"": 0.425}, ""capital"": {""score"": 0.9, ""affordable_lots"": 9, ""capital_util"": 0.101, ""loss_streak"": 0}, ""vix"": {""score"": 0.85, ""regime"": ""normal"", ""vix"": 13.36, ""day_high"": 13.5, ""day_low"": 13.24, ""trend"": ""flat"", ""recommendation"": ""optimal""}, ""option_chain"": {""score"": 0.5, ""pcr"": 1.0, ""max_pain"": 0, ""oi_bias"": ""neutral"", ""recommendation"": ""no_data""}, ""multi_tf"": {""score"": 0.15, ""trends"": {""1m"": ""sideways"", ""5m"": ""sideways"", ""15m"": ""unknown""}, ""aligned"": false, ""recommendation"": ""weak""}}, ""lots"": 1, ""sl_pct"": 10.0, ""trail_pct"": 8.0, ""timeout"": 50, ""greeks"": {""delta"": 0.5532, ""gamma"": 0.04, ""theta"": -2.17, ""","{""reversal_pattern"": 0.7}"
2026-07-09,11:15:03,NIFTY,NIFTY2671424000CE,CE,154.85,154.7,9,585,-87.75,-0.1,trail,3.0,2.5,5.0,,2.5,0.085,204.75,0.23,1,99941.5,demo,full,0.0,-87.75,0.42,48.1,D,choppy,auto,24017.7,24017.45,"{""allow"": true, ""score"": 48.1, ""grade"": ""D"", ""reason"": ""ENTRY APPROVED [D] score=48/100  PA=1% Vol=dead \u0394=+0.55 R:R=2.0 time=prime"", ""dimensions"": {""price_action"": {""momentum"": 0.556, ""trend_strength"": 0.782, ""sr_quality"": 0.874, ""candle_quality"": 0.216, ""rsi_signal"": 0.4, ""rsi_value"": 62.4, ""composite"": 0.602}, ""volatility"": {""regime"": ""dead"", ""nifty_atr"": 0.593, ""opt_atr"": 0.14, ""atr_pct"": 0.0025, ""vol_score"": 0.2}, ""greeks"": {""delta"": 0.553, ""gamma"": 0.04, ""theta"": -2.164, ""vega"": 0.008, ""moneyness"": 1.0007, ""dte"": 5, ""theta_pressure"": 0.4, ""score"": 0.7}, ""risk_reward"": {""ev"": 352.28, ""kelly"": 0.175, ""rr_ratio"": 2.0, ""score"": 0.9, ""risk_per_lot"": 1006.52, ""max_lots_kelly"": 1}, ""timing"": {""session"": ""open"", ""score"": 0.9, ""minutes_left"": 255, ""phase"": ""prime"", ""elapsed_mins"": 120}, ""microstructure"": {""spread_pct"": 0.032, ""liquidity"": 0.8, ""score"": 0.9}, ""ai_brain"": {""score"": 0.42}, ""capital"": {""score"": 0.9, ""affordable_lots"": 9, ""capital_util"": 0.101, ""loss_streak"": 0}, ""vix"": {""score"": 0.85, ""regime"": ""normal"", ""vix"": 13.34, ""day_high"": 13.5, ""day_low"": 13.24, ""trend"": ""flat"", ""recommendation"": ""optimal""}, ""option_chain"": {""score"": 0.5, ""pcr"": 1.0, ""max_pain"": 0, ""oi_bias"": ""neutral"", ""recommendation"": ""no_data""}, ""multi_tf"": {""score"": 0.533, ""trends"": {""1m"": ""sideways"", ""5m"": ""up"", ""15m"": ""sideways""}, ""aligned"": false, ""recommendation"": ""ok""}}, ""lots"": 1, ""sl_pct"": 10.0, ""trail_pct"": 8.0, ""timeout"": 50, ""greeks"": {""delta"": 0.553, ""gamma"": 0.04, ""theta"": -2.164, ""vega""",{}
2026-07-09,11:17:47,NIFTY,NIFTY2671424000PE,PE,132.9,132.9,11,715,0.0,0.0,ai_analyzer,3.0,2.5,5.0,,2.5,0.07,0.0,0.0,0,99941.5,demo,full,0.0,0.0,0.398,42.7,D,choppy,auto,24014.25,24015.05,"{""allow"": true, ""score"": 42.7, ""grade"": ""D"", ""reason"": ""ENTRY APPROVED [D] score=43/100  PA=1% Vol=dead \u0394=-0.55 R:R=2.0 time=prime"", ""dimensions"": {""price_action"": {""momentum"": 0.778, ""trend_strength"": 0.798, ""sr_quality"": 0.993, ""candle_quality"": 0.984, ""rsi_signal"": 0.1, ""rsi_value"": 19.4, ""composite"": 0.755}, ""volatility"": {""regime"": ""dead"", ""nifty_atr"": 0.66, ""opt_atr"": 0.45, ""atr_pct"": 0.0027, ""vol_score"": 0.2}, ""greeks"": {""delta"": -0.5476, ""gamma"": 0.04, ""theta"": -1.857, ""vega"": 0.007, ""moneyness"": 1.0006, ""dte"": 5, ""theta_pressure"": 0.4, ""score"": 0.721}, ""risk_reward"": {""ev"": 302.35, ""kelly"": 0.175, ""rr_ratio"": 2.0, ""score"": 0.9, ""risk_per_lot"": 863.85, ""max_lots_kelly"": 2}, ""timing"": {""session"": ""open"", ""score"": 0.9, ""minutes_left"": 253, ""phase"": ""prime"", ""elapsed_mins"": 122}, ""microstructure"": {""spread_pct"": 0.075, ""liquidity"": 1.0, ""score"": 0.9}, ""ai_brain"": {""score"": 0.398}, ""capital"": {""score"": 0.7, ""affordable_lots"": 11, ""capital_util"": 0.086, ""loss_streak"": 1}, ""vix"": {""score"": 0.85, ""regime"": ""normal"", ""vix"": 13.32, ""day_high"": 13.5, ""day_low"": 13.24, ""trend"": ""flat"", ""recommendation"": ""optimal""}, ""option_chain"": {""score"": 0.5, ""pcr"": 1.0, ""max_pain"": 0, ""oi_bias"": ""neutral"", ""recommendation"": ""no_data""}, ""multi_tf"": {""score"": 0.417, ""trends"": {""1m"": ""down"", ""5m"": ""sideways"", ""15m"": ""sideways""}, ""aligned"": false, ""recommendation"": ""weak""}}, ""lots"": 2, ""sl_pct"": 10.0, ""trail_pct"": 8.0, ""timeout"": 50, ""greeks"": {""delta"": -0.5476, ""gamma"": 0.04, ""theta"": -1.8","{""reversal_pattern"": 0.6}"
2026-07-09,11:18:07,NIFTY,NIFTY2671424000CE,CE,154.45,154.0,9,585,-263.25,-0.29,ai_analyzer,3.0,2.5,5.0,,2.5,0.225,0.0,0.0,0,99678.25,demo,full,0.0,-263.25,0.437,45.3,D,choppy,auto,24017.0,24017.0,"{""allow"": true, ""score"": 45.3, ""grade"": ""D"", ""reason"": ""ENTRY APPROVED [D] score=45/100  PA=1% Vol=dead \u0394=+0.55 R:R=2.0 time=prime"", ""dimensions"": {""price_action"": {""momentum"": 0.667, ""trend_strength"": 0.332, ""sr_quality"": 1.0, ""candle_quality"": 1.0, ""rsi_signal"": 0.1, ""rsi_value"": 71.6, ""composite"": 0.615}, ""volatility"": {""regime"": ""dead"", ""nifty_atr"": 0.603, ""opt_atr"": 0.265, ""atr_pct"": 0.0025, ""vol_score"": 0.2}, ""greeks"": {""delta"": 0.5528, ""gamma"": 0.04, ""theta"": -2.159, ""vega"": 0.008, ""moneyness"": 1.0007, ""dte"": 5, ""theta_pressure"": 0.4, ""score"": 0.7}, ""risk_reward"": {""ev"": 351.37, ""kelly"": 0.175, ""rr_ratio"": 2.0, ""score"": 0.9, ""risk_per_lot"": 1003.93, ""max_lots_kelly"": 1}, ""timing"": {""session"": ""open"", ""score"": 0.9, ""minutes_left"": 252, ""phase"": ""prime"", ""elapsed_mins"": 123}, ""microstructure"": {""spread_pct"": 0.032, ""liquidity"": 1.0, ""score"": 0.9}, ""ai_brain"": {""score"": 0.437}, ""capital"": {""score"": 0.9, ""affordable_lots"": 9, ""capital_util"": 0.1, ""loss_streak"": 0}, ""vix"": {""score"": 0.85, ""regime"": ""normal"", ""vix"": 13.32, ""day_high"": 13.5, ""day_low"": 13.24, ""trend"": ""flat"", ""recommendation"": ""optimal""}, ""option_chain"": {""score"": 0.5, ""pcr"": 1.0, ""max_pain"": 0, ""oi_bias"": ""neutral"", ""recommendation"": ""no_data""}, ""multi_tf"": {""score"": 0.533, ""trends"": {""1m"": ""sideways"", ""5m"": ""up"", ""15m"": ""sideways""}, ""aligned"": false, ""recommendation"": ""ok""}}, ""lots"": 1, ""sl_pct"": 10.0, ""trail_pct"": 8.0, ""timeout"": 50, ""greeks"": {""delta"": 0.5528, ""gamma"": 0.04, ""theta"": -2.159, ""vega"": ","{""reversal_pattern"": 0.7}"
2026-07-09,11:47:04,NIFTY,NIFTY2671424050PE,PE,137.0,136.95,11,715,-35.75,-0.04,ai_analyzer,3.0,2.5,5.0,,2.5,0.045,0.0,0.0,1,99964.25,demo,full,0.0,-35.75,0.374,42.2,D,choppy,auto,24045.05,24044.05,"{""allow"": true, ""score"": 42.2, ""grade"": ""D"", ""reason"": ""ENTRY APPROVED [D] score=42/100  PA=1% Vol=dead \u0394=-0.55 R:R=2.0 time=prime"", ""dimensions"": {""price_action"": {""momentum"": 0.444, ""trend_strength"": 0.755, ""sr_quality"": 0.942, ""candle_quality"": 0.62, ""rsi_signal"": 0.4, ""rsi_value"": 42.2, ""composite"": 0.641}, ""volatility"": {""regime"": ""dead"", ""nifty_atr"": 0.885, ""opt_atr"": 0.365, ""atr_pct"": 0.0037, ""vol_score"": 0.2}, ""greeks"": {""delta"": -0.5508, ""gamma"": 0.04, ""theta"": -1.915, ""vega"": 0.01, ""moneyness"": 0.9998, ""dte"": 5, ""theta_pressure"": 0.4, ""score"": 0.713}, ""risk_reward"": {""ev"": 311.68, ""kelly"": 0.175, ""rr_ratio"": 2.0, ""score"": 0.9, ""risk_per_lot"": 890.5, ""max_lots_kelly"": 1}, ""timing"": {""session"": ""open"", ""score"": 0.9, ""minutes_left"": 223, ""phase"": ""prime"", ""elapsed_mins"": 152}, ""microstructure"": {""spread_pct"": 0.109, ""liquidity"": 1.0, ""score"": 0.9}, ""ai_brain"": {""score"": 0.374}, ""capital"": {""score"": 0.7, ""affordable_lots"": 11, ""capital_util"": 0.089, ""loss_streak"": 0}, ""vix"": {""score"": 0.85, ""regime"": ""normal"", ""vix"": 13.21, ""day_high"": 13.22, ""day_low"": 13.09, ""trend"": ""flat"", ""recommendation"": ""optimal""}, ""option_chain"": {""score"": 0.5, ""pcr"": 1.0, ""max_pain"": 0, ""oi_bias"": ""neutral"", ""recommendation"": ""no_data""}, ""multi_tf"": {""score"": 0.5, ""trends"": {""1m"": ""down"", ""5m"": ""down"", ""15m"": ""unknown""}, ""aligned"": true, ""recommendation"": ""strong""}}, ""lots"": 1, ""sl_pct"": 10.0, ""trail_pct"": 8.0, ""timeout"": 50, ""greeks"": {""delta"": -0.5508, ""gamma"": 0.04, ""theta"": -1.915, ""v","{""reversal_pattern"": 0.6}"
2026-07-09,11:47:17,NIFTY,NIFTY2671424050PE,PE,137.95,136.85,11,715,-786.5,-0.8,ai_analyzer,3.0,2.5,5.0,,2.5,0.045,0.0,0.0,3,99177.75,demo,full,0.0,-786.5,0.42,41.2,D,choppy,auto,24043.05,24043.6,"{""allow"": true, ""score"": 41.2, ""grade"": ""D"", ""reason"": ""ENTRY APPROVED [D] score=41/100  PA=0% Vol=dead \u0394=-0.55 R:R=2.0 time=prime"", ""dimensions"": {""price_action"": {""momentum"": 0.556, ""trend_strength"": 0.128, ""sr_quality"": 0.744, ""candle_quality"": 0.313, ""rsi_signal"": 0.4, ""rsi_value"": 42.8, ""composite"": 0.427}, ""volatility"": {""regime"": ""dead"", ""nifty_atr"": 0.908, ""opt_atr"": 0.315, ""atr_pct"": 0.0038, ""vol_score"": 0.2}, ""greeks"": {""delta"": -0.5512, ""gamma"": 0.04, ""theta"": -1.928, ""vega"": 0.01, ""moneyness"": 0.9997, ""dte"": 5, ""theta_pressure"": 0.4, ""score"": 0.711}, ""risk_reward"": {""ev"": 313.84, ""kelly"": 0.175, ""rr_ratio"": 2.0, ""score"": 0.9, ""risk_per_lot"": 896.67, ""max_lots_kelly"": 1}, ""timing"": {""session"": ""open"", ""score"": 0.9, ""minutes_left"": 223, ""phase"": ""prime"", ""elapsed_mins"": 152}, ""microstructure"": {""spread_pct"": 0.072, ""liquidity"": 1.0, ""score"": 0.9}, ""ai_brain"": {""score"": 0.42}, ""capital"": {""score"": 0.7, ""affordable_lots"": 11, ""capital_util"": 0.09, ""loss_streak"": 1}, ""vix"": {""score"": 0.85, ""regime"": ""normal"", ""vix"": 13.22, ""day_high"": 13.22, ""day_low"": 13.09, ""trend"": ""flat"", ""recommendation"": ""optimal""}, ""option_chain"": {""score"": 0.5, ""pcr"": 1.0, ""max_pain"": 0, ""oi_bias"": ""neutral"", ""recommendation"": ""no_data""}, ""multi_tf"": {""score"": 0.5, ""trends"": {""1m"": ""down"", ""5m"": ""down"", ""15m"": ""unknown""}, ""aligned"": true, ""recommendation"": ""strong""}}, ""lots"": 1, ""sl_pct"": 10.0, ""trail_pct"": 8.0, ""timeout"": 50, ""greeks"": {""delta"": -0.5512, ""gamma"": 0.04, ""theta"": -1.928, ""v","{""reversal_pattern"": 0.6}"
2026-07-09,12:22:13,NIFTY,NIFTY2671424050CE,CE,146.55,147.0,10,650,292.5,0.31,ai_analyzer,3.0,2.5,5.0,,2.5,0.12,552.5,0.58,2,100292.5,demo,full,0.0,292.5,0.401,26.0,F,choppy,manual,24054.55,24056.5,"{""allow"": false, ""score"": 26.0, ""grade"": ""F"", ""reason"": ""ENTRY BLOCKED [F] score=26/100 < 40  weakest=multi_tf(0%)  PA=0% Vol=dead"", ""dimensions"": {""price_action"": {""momentum"": 0.444, ""trend_strength"": 0.0, ""sr_quality"": 0.648, ""candle_quality"": 0.133, ""rsi_signal"": 0.7, ""rsi_value"": 50.7, ""composite"": 0.366}, ""volatility"": {""regime"": ""dead"", ""nifty_atr"": 0.598, ""opt_atr"": 0.25, ""atr_pct"": 0.0025, ""vol_score"": 0.2}, ""greeks"": {""delta"": -0.5486, ""gamma"": 0.04, ""theta"": -1.786, ""vega"": 0.006, ""moneyness"": 1.0003, ""dte"": 5, ""theta_pressure"": 0.4, ""score"": 0.732}, ""risk_reward"": {""ev"": 290.75, ""kelly"": 0.175, ""rr_ratio"": 2.0, ""score"": 0.9, ""risk_per_lot"": 830.7, ""max_lots_kelly"": 2}, ""timing"": {""session"": ""open"", ""score"": 0.9, ""minutes_left"": 188, ""phase"": ""prime"", ""elapsed_mins"": 187}, ""microstructure"": {""spread_pct"": 0.117, ""liquidity"": 0.7, ""score"": 0.7}, ""ai_brain"": {""score"": 0.401}, ""capital"": {""score"": 0.7, ""affordable_lots"": 12, ""capital_util"": 0.083, ""loss_streak"": 0}, ""vix"": {""score"": 0.85, ""regime"": ""normal"", ""vix"": 13.14, ""day_high"": 13.15, ""day_low"": 13.13, ""trend"": ""flat"", ""recommendation"": ""optimal""}, ""option_chain"": {""score"": 0.5, ""pcr"": 1.0, ""max_pain"": 0, ""oi_bias"": ""neutral"", ""recommendation"": ""no_data""}, ""multi_tf"": {""score"": 0.05, ""trends"": {""1m"": ""sideways"", ""5m"": ""unknown"", ""15m"": ""unknown""}, ""aligned"": false, ""recommendation"": ""weak""}}, ""lots"": 2, ""sl_pct"": 10.0, ""trail_pct"": 8.0, ""timeout"": 50, ""greeks"": {""delta"": -0.5486, ""gamma"": 0.04, ""theta"": -1.786, ""","{""reversal_pattern"": 0.6}"
